url,path,category,action,target_url,notes
https://zhongsai-steelstructure.com/zh/countries/Thailand,/zh/countries/Thailand,OLD_COUNTRY_PAGE,KEEP_404_OR_410,,旧国家页，V2尚未启动国家页策略
https://zhongsai-steelstructure.com/en/products/materials/privacy.html,/en/products/materials/privacy.html,OLD_PRODUCT_PAGE_HTML,EVALUATE_301,,旧产品页，评估是否有对应V2产品页
https://zhongsai-steelstructure.com/zh/blog/q355b-vs-q235b-steel-grade-comparison.html,/zh/blog/q355b-vs-q235b-steel-grade-comparison.html,OLD_BLOG_PAGE_HTML,EVALUATE_301_OR_MIGRATE,,旧博客页，评估是否迁移或301到相关新文章
https://zhongsai-steelstructure.com/en/products/privacy.html,/en/products/privacy.html,OLD_PRODUCT_PAGE_HTML,EVALUATE_301,,旧产品页，评估是否有对应V2产品页
https://zhongsai-steelstructure.com/zh/blog/prefab-steel-building-installation-guide,/zh/blog/prefab-steel-building-installation-guide,OLD_BLOG_PAGE_OLD_SLUG,EVALUATE_301_OR_MIGRATE,,旧博客页，评估是否迁移或301到相关新文章
https://zhongsai-steelstructure.com/en/products/materials/cz-purlin.html,/en/products/materials/cz-purlin.html,OLD_PRODUCT_PAGE_HTML,EVALUATE_301,,旧产品页，评估是否有对应V2产品页
https://zhongsai-steelstructure.com/en/products/zh/shipments.html,/en/products/zh/shipments.html,OLD_PRODUCT_PAGE_HTML,EVALUATE_301,,旧产品页，评估是否有对应V2产品页
https://zhongsai-steelstructure.com/products/steel-equipment-platform.html,/products/steel-equipment-platform.html,OLD_PRODUCT_PAGE_HTML,EVALUATE_301,,旧产品页，评估是否有对应V2产品页
https://zhongsai-steelstructure.com/zh/projects/privacy.html,/zh/projects/privacy.html,OLD_PROJECT_PAGE,EVALUATE_410_OR_MIGRATE,,旧项目页，区分真实项目和生成项目
https://zhongsai-steelstructure.com/en/projects/vietnam-logistics-center,/en/projects/vietnam-logistics-center,OLD_PROJECT_PAGE,EVALUATE_410_OR_MIGRATE,,旧项目页，区分真实项目和生成项目
https://zhongsai-steelstructure.com/en/blog/gangjiegou-chukou-feizhou-quanliucheng,/en/blog/gangjiegou-chukou-feizhou-quanliucheng,OLD_BLOG_PAGE_OLD_SLUG,EVALUATE_301_OR_MIGRATE,,旧博客页，评估是否迁移或301到相关新文章
https://zhongsai-steelstructure.com/countries/uae.html,/countries/uae.html,OLD_COUNTRY_PAGE,KEEP_404_OR_410,,旧国家页，V2尚未启动国家页策略
https://zhongsai-steelstructure.com/zh/countries/Philippines,/zh/countries/Philippines,OLD_COUNTRY_PAGE,KEEP_404_OR_410,,旧国家页，V2尚未启动国家页策略
https://zhongsai-steelstructure.com/zh/projects/contact.html,/zh/projects/contact.html,OLD_PROJECT_PAGE,EVALUATE_410_OR_MIGRATE,,旧项目页，区分真实项目和生成项目
