old_url,old_language,new_url,new_language,cross_language_redirect,notes
https://zhongsai-steelstructure.com,OTHER,https://zhongsai-steelstructure.com/en/,EN,NO,Root redirect to EN homepage after cutover
https://zhongsai-steelstructure.com/en,EN,https://zhongsai-steelstructure.com/en/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/about,EN,https://zhongsai-steelstructure.com/en/about/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/agricultural-steel-buildings,EN,https://zhongsai-steelstructure.com/en/agricultural-steel-buildings/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/common-mistakes-importing-steel-structures-china,EN,https://zhongsai-steelstructure.com/en/blog/common-mistakes-importing-steel-structures-china/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/how-to-choose-steel-structure-supplier,EN,https://zhongsai-steelstructure.com/en/blog/how-to-choose-steel-structure-supplier/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide,EN,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa,EN,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/how-to-steel-structure-cost,EN,https://zhongsai-steelstructure.com/en/blog/how-to-steel-structure-cost/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/import-steel-from-china-cost,EN,https://zhongsai-steelstructure.com/en/blog/import-steel-from-china-cost/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china,EN,https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/steel-structure-building-lifespan-guide,EN,https://zhongsai-steelstructure.com/en/blog/steel-structure-building-lifespan-guide/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide,EN,https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/steel-structure-corrosion-protection-coating-guide,EN,https://zhongsai-steelstructure.com/en/blog/steel-structure-corrosion-protection-coating-guide/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/steel-structure-fabrication-drawings-documents-required,EN,https://zhongsai-steelstructure.com/en/blog/steel-structure-fabrication-drawings-documents-required/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/steel-structure-installation-guide,EN,https://zhongsai-steelstructure.com/en/blog/steel-structure-installation-guide/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/steel-structure-welding-quality-control-guide,EN,https://zhongsai-steelstructure.com/en/blog/steel-structure-welding-quality-control-guide/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide,EN,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/commercial-public-steel-buildings,EN,https://zhongsai-steelstructure.com/en/commercial-public-steel-buildings/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/components,EN,https://zhongsai-steelstructure.com/en/components/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns,EN,https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems,EN,https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/components/steel-purlins,EN,https://zhongsai-steelstructure.com/en/components/steel-purlins/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/components/steel-trusses,EN,https://zhongsai-steelstructure.com/en/components/steel-trusses/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/contact,EN,https://zhongsai-steelstructure.com/en/contact/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/engineering-design,EN,https://zhongsai-steelstructure.com/en/engineering-design/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/export-delivery,EN,https://zhongsai-steelstructure.com/en/export-delivery/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/manufacturing-quality,EN,https://zhongsai-steelstructure.com/en/manufacturing-quality/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/privacy,EN,https://zhongsai-steelstructure.com/en/privacy/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/products,EN,https://zhongsai-steelstructure.com/en/products/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/products/custom-engineering,EN,https://zhongsai-steelstructure.com/en/products/custom-engineering/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects,EN,https://zhongsai-steelstructure.com/en/projects/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack,EN,https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace,EN,https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace,EN,https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center,EN,https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs,EN,https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base,EN,https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/luohu-mixc-skybridge,EN,https://zhongsai-steelstructure.com/en/projects/luohu-mixc-skybridge/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/macau-city-of-dreams-phase2,EN,https://zhongsai-steelstructure.com/en/projects/macau-city-of-dreams-phase2/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/macau-londoner,EN,https://zhongsai-steelstructure.com/en/projects/macau-londoner/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/qianhai-dreamfactory,EN,https://zhongsai-steelstructure.com/en/projects/qianhai-dreamfactory/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/shantou-luxshare-electronics-center,EN,https://zhongsai-steelstructure.com/en/projects/shantou-luxshare-electronics-center/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/singapore-airport-t2-connect,EN,https://zhongsai-steelstructure.com/en/projects/singapore-airport-t2-connect/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/singapore-cr101-depot,EN,https://zhongsai-steelstructure.com/en/projects/singapore-cr101-depot/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/singapore-j102-mrt-station,EN,https://zhongsai-steelstructure.com/en/projects/singapore-j102-mrt-station/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/singapore-j107-mrt-station,EN,https://zhongsai-steelstructure.com/en/projects/singapore-j107-mrt-station/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/singapore-mcc-innocentre,EN,https://zhongsai-steelstructure.com/en/projects/singapore-mcc-innocentre/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/singapore-sats-bup-centre,EN,https://zhongsai-steelstructure.com/en/projects/singapore-sats-bup-centre/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/singapore-sentosa-waterfront-hotel,EN,https://zhongsai-steelstructure.com/en/projects/singapore-sentosa-waterfront-hotel/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/xiegang-aviation-manufacturing,EN,https://zhongsai-steelstructure.com/en/projects/xiegang-aviation-manufacturing/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/yixian-biotech-manufacturing,EN,https://zhongsai-steelstructure.com/en/projects/yixian-biotech-manufacturing/,EN,NO,"Path identical in V2, same search intent"
https://zhongsai-steelstructure.com/en/projects/zhanjiang-logistics-port,EN,https://zhongsai-steelstructure.com/en/projects/zhanjiang-logistics-port/,EN,NO,"Path identical in V2, same search intent"
