old_path,page_type,migration_action,final_action,new_path,target_indexable,self_redirect,redirect_chain,candidate_rule,generated_legacy_project,generated_project_state_ok,status
/,homepage,301_ONE_TO_ONE,301_ONE_TO_ONE,/en/,True,False,False,True,False,True,PASS
/404/,utility,IGNORE_NON_PAGE,IGNORE_NON_PAGE,,,False,False,False,False,True,PASS
/about/,about,301_ONE_TO_ONE,301_ONE_TO_ONE,/en/about/,True,False,False,True,False,True,PASS
/blog/,blog,MIGRATE_CONTENT,DROP_CANDIDATE,,,False,False,False,False,True,PASS
/blog/gangjiegou-anzhuang-zhinan-haiwai/,blog,MIGRATE_CONTENT,P2_GROWTH,,,False,False,False,False,True,PASS
/blog/gangjiegou-cangku-zaojia-duoshaoqian/,blog,MIGRATE_CONTENT,SAFE_MERGE,/en/blog/steel-warehouse-cost-complete-guide/,True,False,False,True,False,True,PASS
/blog/gangjiegou-chukou-feizhou-quanliucheng/,blog,MIGRATE_CONTENT,SAFE_MERGE,/en/blog/how-to-import-steel-structure-from-china-to-africa/,True,False,False,True,False,True,PASS
/blog/gangjiegou-vs-hunningtu-chengben-duibi/,blog,MIGRATE_CONTENT,P2_GROWTH,,,False,False,False,False,True,PASS
/blog/how-much-does-steel-structure-warehouse-cost/,blog,MIGRATE_CONTENT,SAFE_MERGE,/en/blog/steel-warehouse-cost-complete-guide/,True,False,False,True,False,True,PASS
/blog/how-to-import-steel-structure-from-china-to-africa/,blog,MIGRATE_CONTENT,SAFE_MERGE,/en/blog/how-to-import-steel-structure-from-china-to-africa/,True,False,False,True,False,True,PASS
/blog/steel-structure-building-installation-guide-overseas/,blog,MIGRATE_CONTENT,P2_GROWTH,,,False,False,False,False,True,PASS
/blog/steel-structure-vs-concrete-building-cost-comparison/,blog,MIGRATE_CONTENT,P2_GROWTH,,,False,False,False,False,True,PASS
/blog/top-10-steel-structure-manufacturers-in-china/,blog,MIGRATE_CONTENT,P1_30_DAYS,,,False,False,False,False,True,PASS
/blog/zhongguo-gangjiegou-changjia-paiming/,blog,MIGRATE_CONTENT,DROP_CANDIDATE,,,False,False,False,False,True,PASS
/contact/,contact,301_ONE_TO_ONE,301_ONE_TO_ONE,/en/contact/,True,False,False,True,False,True,PASS
/en/,homepage,KEEP,KEEP,/en/,True,False,False,False,False,True,PASS
/en/404/,utility,IGNORE_NON_PAGE,IGNORE_NON_PAGE,,,False,False,False,False,True,PASS
/en/about/,about,KEEP,KEEP,/en/about/,True,False,False,False,False,True,PASS
/en/blog/,blog,MIGRATE_CONTENT,DROP_CANDIDATE,,,False,False,False,False,True,PASS
/en/blog/astm-vs-gb-steel-grades-comparison/,blog,MIGRATE_CONTENT,P2_GROWTH,,,False,False,False,False,True,PASS
/en/blog/how-much-does-steel-structure-warehouse-cost/,blog,GONE_410_CANDIDATE,GONE_410_CANDIDATE,,,False,False,False,False,True,PASS
/en/blog/how-to-buy-steel-buildings-from-china/,blog,MIGRATE_CONTENT,DROP_CANDIDATE,,,False,False,False,False,True,PASS
/en/blog/how-to-choose-steel-structure-manufacturer-china/,blog,MIGRATE_CONTENT,DROP_CANDIDATE,,,False,False,False,False,True,PASS
/en/blog/how-to-import-steel-structure-from-china-complete-guide/,blog,MIGRATE_CONTENT,LEGACY_PRESERVED_200,,,False,False,False,False,True,PASS
/en/blog/how-to-import-steel-structure-from-china-to-africa/,blog,MIGRATE_CONTENT,LEGACY_PRESERVED_200,,,False,False,False,False,True,PASS
/en/blog/prefab-steel-building-installation-guide/,blog,MIGRATE_CONTENT,P2_GROWTH,,,False,False,False,False,True,PASS
/en/blog/prefab-steel-building-roof-systems-comparison/,blog,MIGRATE_CONTENT,P2_GROWTH,,,False,False,False,False,True,PASS
/en/blog/shipping-cost-steel-structure-from-china/,blog,MIGRATE_CONTENT,LEGACY_PRESERVED_200,,,False,False,False,False,True,PASS
/en/blog/steel-structure-building-installation-guide-overseas/,blog,MIGRATE_CONTENT,P2_GROWTH,,,False,False,False,False,True,PASS
